id_esdb,id_fd,name,country,country_id_esdb
1,B1,Belgium Jupiler League,Belgium,1
10257,I1,Italy Serie A,Italy,10257
13274,N1,Netherlands Eredivisie,Netherlands,13274
15722,,Poland Ekstraklasa,Poland,15722
1729,E0,England Premier League,United Kingdom of Great Britain and Northern Ireland,1729
19694,SC0,Scotland Scottish Premier League,United Kingdom of Great Britain and Northern Ireland,1729
17642,P1,Portugal Liga ZON Sagres,Portugal,17642
21518,SP1,Spain LIGA BBVA,Spain,21518
24558,,Switzerland Super League,Switzerland,24558
4769,F1,France Ligue 1,France,4769
7809,D1,Germany 1. Bundesliga,Germany,7809
