name1, country1, name2, country2
Richard Gasquet,FRA,Igor Andreev,RUS
Dmitry Tursunov,RUS,Stanislas Wawrinka,SUI
Sebastien Grosjean,FRA,Peter Luczak,AUS
Fernando Verdasco,ESP,Feliciano Lopez,ESP
Fabrice Santoro,FRA,James Blake,USA
Steve Darcis,BEL,Joseph Sirianni,AUS
Ivo Minar,CZE,Alun Jones,AUS
Evgeny Korolev,KAZ,Paul Henri Mathieu,FRA
Lleyton Hewitt,AUS,Nicolas Mahut,FRA
Chris Guccione,AUS,Alberto Martin,ESP
Gilles Simon,FRA,Mardy Fish,USA
Tomas Berdych,CZE,Filippo Volandri,ITA
Carlos Moya,ESP,Stefan Koubek,AUT
Agustin Calleri,ARG,Greg Jones,AUS
Andreas Seppi,ITA,Jo Wilfried Tsonga,FRA
Radek Stepanek,CZE,Tommy Robredo,ESP
Dmitry Tursunov,RUS,Richard Gasquet,FRA
Sebastien Grosjean,FRA,Fernando Verdasco,ESP
Fabrice Santoro,FRA,Steve Darcis,BEL
Evgeny Korolev,KAZ,Ivo Minar,CZE
Chris Guccione,AUS,Lleyton Hewitt,AUS
Tomas Berdych,CZE,Gilles Simon,FRA
Agustin Calleri,ARG,Carlos Moya,ESP
Radek Stepanek,CZE,Andreas Seppi,ITA
Dmitry Tursunov,RUS,Sebastien Grosjean,FRA
Fabrice Santoro,FRA,Evgeny Korolev,KAZ
Chris Guccione,AUS,Tomas Berdych,CZE
Radek Stepanek,CZE,Agustin Calleri,ARG
Dmitry Tursunov,RUS,Fabrice Santoro,FRA
Chris Guccione,AUS,Radek Stepanek,CZE
Dmitry Tursunov,RUS,Chris Guccione,AUS
Philipp Petzschner,GER,Stanislas Wawrinka,SUI
Jan Hernych,CZE,Roko Karanusic,CRO
Carlos Moya,ESP,Michael Berrer,GER
Eduardo Schwank,ARG,Gilles Simon,FRA
Juan Carlos Ferrero,ESP,Ivo Karlovic,CRO
Jurgen Melzer,AUT,Ivan Ljubicic,CRO
Feliciano Lopez,ESP,Agustin Calleri,ARG
Santiago Giraldo,COL,Stefan Koubek,AUT
Fernando Verdasco,ESP,Victor Crivoi,ROU
Guillermo Canas,ARG,Andreas Seppi,ITA
Philipp Kohlschreiber,GER,Marc Gicquel,FRA
Juan Martin Del Potro,ARG,Martin Fischer,AUT
Gael Monfils,FRA,Alexander Peya,AUT
Radek Stepanek,CZE,Pavel Snobel,CZE
Ernests Gulbis,LAT,Filippo Volandri,ITA
Fernando Gonzalez,CHI,Simone Bolelli,ITA
Philipp Petzschner,GER,Jan Hernych,CZE
Carlos Moya,ESP,Eduardo Schwank,ARG
Jurgen Melzer,AUT,Juan Carlos Ferrero,ESP
Feliciano Lopez,ESP,Santiago Giraldo,COL
Fernando Verdasco,ESP,Guillermo Canas,ARG
Philipp Kohlschreiber,GER,Juan Martin Del Potro,ARG
Gael Monfils,FRA,Radek Stepanek,CZE
Fernando Gonzalez,CHI,Ernests Gulbis,LAT
Philipp Petzschner,GER,Carlos Moya,ESP
Feliciano Lopez,ESP,Jurgen Melzer,AUT
Philipp Kohlschreiber,GER,Fernando Verdasco,ESP
Gael Monfils,FRA,Fernando Gonzalez,CHI
Philipp Petzschner,GER,Feliciano Lopez,ESP
Gael Monfils,FRA,Philipp Kohlschreiber,GER
Philipp Petzschner,GER,Gael Monfils,FRA
Lleyton Hewitt,AUS,Dudi Sela,ISR
Jose Acasuso,ARG,Alejandro Falla,COL
Ernests Gulbis,LAT,Andrey Golubev,KAZ
Jo Wilfried Tsonga,FRA,Victor Hanescu,ROU
Jarkko Nieminen,FIN,Ivo Klec,SVK
Frank Dancevic,CAN,Simone Bolelli,ITA
Mischa Zverev,GER,Florian Mayer,GER
Vincent Spadea,USA,Sebastien Grosjean,FRA
Michael Russell,USA,Juan Martin Del Potro,ARG
Benjamin Becker,GER,Robert Smeets,AUS
Evgeny Korolev,KAZ,Alun Jones,AUS
Michael Llodra,FRA,Gilles Simon,FRA
Joseph Sirianni,AUS,Radek Stepanek,CZE
Sam Querrey,USA,Steve Darcis,BEL
Chris Guccione,AUS,Wayne Odesnik,USA
Paul Henri Mathieu,FRA,Julien Benneteau,FRA
Lleyton Hewitt,AUS,Jose Acasuso,ARG
Jo Wilfried Tsonga,FRA,Ernests Gulbis,LAT
Jarkko Nieminen,FIN,Frank Dancevic,CAN
Vincent Spadea,USA,Mischa Zverev,GER
Benjamin Becker,GER,Michael Russell,USA
Michael Llodra,FRA,Evgeny Korolev,KAZ
Joseph Sirianni,AUS,Sam Querrey,USA
Paul Henri Mathieu,FRA,Chris Guccione,AUS
