id,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,season,portion,B365H,B365D,B365A,LBH,LBD,LBA,PSH,PSD,PSA,SJH,SJD,SJA
1,B1,16/08/2008,Cercle Brugge,Anderlecht,0,3,2008/2009,1,2.38,3.3,2.75,2.5,3.2,2.5,,,,2.63,3.3,2.5
2,B1,16/08/2008,Dender,Standard,1,3,2008/2009,1,5,3.5,1.65,4,3.4,1.72,,,,4.5,3.5,1.73
3,B1,16/08/2008,Roeselare,Kortrijk,2,2,2008/2009,1,2.1,3.2,3.3,1.83,3.3,3.6,,,,1.91,3.4,3.6
4,B1,16/08/2008,Tubize,Mouscron,1,2,2008/2009,1,3.2,3.4,2.2,2.5,3.2,2.5,,,,2.6,3.4,2.4
5,B1,16/08/2008,Waregem,Lokeren,0,0,2008/2009,1,1.95,3.2,3.6,1.9,3.2,3.5,,,,1.95,3.3,3.8
6,B1,16/08/2008,Westerlo,Charleroi,1,0,2008/2009,1,2.25,3.25,2.88,2.25,3.2,2.75,,,,2.2,3.3,3.1
7,B1,17/08/2008,Genk,Germinal,1,1,2008/2009,1,1.73,3.4,5,1.8,3.3,3.75,,,,1.9,3.3,4
8,B1,17/08/2008,Gent,Bergen,5,0,2008/2009,1,1.44,3.75,7.5,1.44,3.6,6.5,,,,1.44,4,7.5
9,B1,23/08/2008,Anderlecht,Gent,2,2,2008/2009,1,1.65,3.4,5,1.53,3.5,5.5,,,,1.62,3.4,6
10,B1,23/08/2008,Charleroi,Roeselare,1,0,2008/2009,1,1.5,3.6,6.5,1.57,3.5,5,,,,1.57,3.4,6.5
11,B1,23/08/2008,Germinal,Dender,1,1,2008/2009,1,1.53,3.75,5.5,1.44,3.75,6,,,,1.5,3.75,6.5
12,B1,23/08/2008,Kortrijk,Cercle Brugge,2,1,2008/2009,1,3,3.25,2.2,2.75,3.2,2.25,,,,2.8,3.25,2.4
13,B1,23/08/2008,Lokeren,Tubize,4,1,2008/2009,1,1.65,3.6,4.75,1.53,3.5,5.5,,,,1.57,3.5,6
14,B1,23/08/2008,Mouscron,Mechelen,3,1,2008/2009,1,2.05,3.3,3.4,1.91,3.4,3.25,,,,1.95,3.4,3.6
15,B1,23/08/2008,Standard,Westerlo,3,0,2008/2009,1,1.33,4.2,10,1.33,4,8,,,,1.33,4.5,9
16,B1,24/08/2008,Bergen,Genk,3,1,2008/2009,1,3.6,3.3,1.95,2.8,3.2,2.2,,,,3.3,3.3,2.05
17,B1,29/08/2008,Tubize,Club Brugge,1,4,2008/2009,1,7,3.75,1.53,6,3.75,1.44,,,,5.5,3.75,1.57
18,B1,30/08/2008,Anderlecht,Kortrijk,4,0,2008/2009,1,1.29,4.75,9,1.2,5.5,9,,,,1.25,5,11
19,B1,30/08/2008,Cercle Brugge,Bergen,2,1,2008/2009,1,1.7,3.25,4.75,1.57,3.5,5,,,,1.62,3.5,5.5
20,B1,30/08/2008,Dender,Mouscron,1,2,2008/2009,1,2.5,3.3,2.5,2.5,3.2,2.5,,,,2.5,3.25,2.63
21,B1,30/08/2008,Genk,Lokeren,1,0,2008/2009,1,1.62,3.4,5.5,1.72,3.4,4,,,,1.67,3.5,5
22,B1,30/08/2008,Mechelen,Waregem,0,2,2008/2009,1,2,3.4,3.25,2.1,3.2,3,,,,2.1,3.25,3.25
23,B1,30/08/2008,Westerlo,Germinal,1,0,2008/2009,1,2.25,3.3,2.8,2.2,3.2,2.8,,,,2.38,3.2,2.8
