name,name_esdb_, name_fd, team_api_id,country_id,dataset
KSV Cercle Brugge,KSV Cercle Brugge,Cercle Brugge,9984,1,esdb
RSC Anderlecht,RSC Anderlecht,Anderlecht,8635,1,esdb
FCV Dender EH,FCV Dender EH,Dender,7947,1,esdb
Standard de Liege,Standard de Liege,Standard,9985,1,esdb
KSV Roeselare,KSV Roeselare,Roeselare,9999,1,esdb
KV Kortrijk,KV Kortrijk,Kortrijk,8571,1,esdb
Tubize,Tubize,Tubize,4049,1,esdb
Royal Excel Mouscron,Royal Excel Mouscron,Mouscron,9996,1,esdb
SV Zulte-Waregem,SV Zulte-Waregem,Waregem,10000,1,esdb
Sporting Lokeren,Sporting Lokeren,Lokeren,9994,1,esdb
KVC Westerlo,KVC Westerlo,Westerlo,10001,1,esdb
Sporting Charleroi,Sporting Charleroi,Charleroi,9986,1,esdb
KRC Genk,KRC Genk,Genk,9987,1,esdb
Germinal,,Germinal,,B1,fd
KAA Gent,KAA Gent,Gent,9991,1,esdb
Bergen,,Bergen,,B1,fd
KV Mechelen,KV Mechelen,Mechelen,8203,1,esdb
Club Brugge KV,Club Brugge KV,Club Brugge,8342,1,esdb
Sint-Truidense VV,Sint-Truidense VV,St Truiden,9997,1,esdb
KAS Eupen,KAS Eupen,Eupen,6351,1,esdb
Lierse SK,Lierse SK,Lierse,9989,1,esdb
Oud-Heverlee Leuven,Oud-Heverlee Leuven,Oud-Heverlee Leuven,1773,1,esdb
Waasland-Beveren,Waasland-Beveren,Waasland-Beveren,8475,1,esdb
KV Oostende,KV Oostende,Oostende,8573,1,esdb
Mouscron-Peruwelz,,Mouscron-Peruwelz,,B1,fd
FC Bayern Munich,FC Bayern Munich,Bayern Munich,9823,7809,esdb
Hamburger SV,Hamburger SV,Hamburg,9790,7809,esdb
DSC Arminia Bielefeld,DSC Arminia Bielefeld,Bielefeld,9912,7809,esdb
SV Werder Bremen,SV Werder Bremen,Werder Bremen,8697,7809,esdb
FC Energie Cottbus,FC Energie Cottbus,Cottbus,8398,7809,esdb
TSG 1899 Hoffenheim,TSG 1899 Hoffenheim,Hoffenheim,8226,7809,esdb
Karlsruher SC,Karlsruher SC,Karlsruhe,8295,7809,esdb
VfL Bochum,VfL Bochum,Bochum,9911,7809,esdb
Bayer 04 Leverkusen,Bayer 04 Leverkusen,Leverkusen,8178,7809,esdb
Borussia Dortmund,Borussia Dortmund,Dortmund,9789,7809,esdb
FC Schalke 04,FC Schalke 04,Schalke 04,10189,7809,esdb
Hannover 96,Hannover 96,Hannover,9904,7809,esdb
VfL Wolfsburg,VfL Wolfsburg,Wolfsburg,8721,7809,esdb
1. FC Koln,1. FC Koln,FC Koln,8722,7809,esdb
Eintracht Frankfurt,Eintracht Frankfurt,Ein Frankfurt,9810,7809,esdb
Hertha BSC Berlin,Hertha BSC Berlin,Hertha,8177,7809,esdb
Borussia Monchengladbach,Borussia Monchengladbach,M'gladbach,9788,7809,esdb
VfB Stuttgart,VfB Stuttgart,Stuttgart,10269,7809,esdb
