name_1,name_2
Cercle Brugge,KSV Cercle Brugge
Anderlecht,RSC Anderlecht
Dender,FCV Dender EH
Standard,Standard de Liege
Roeselare,KSV Roeselare
Kortrijk,KV Kortrijk
Tubize,Tubize
Mouscron,Royal Excel Mouscron
Waregem,SV Zulte-Waregem
Lokeren,Sporting Lokeren
Westerlo,KVC Westerlo
Charleroi,Sporting Charleroi
Genk,KRC Genk
Gent,KAA Gent
Mechelen,KV Mechelen
Club Brugge,Club Brugge KV
St Truiden,Sint-Truidense VV
Eupen,KAS Eupen
Lierse,Lierse SK
Oud-Heverlee Leuven,Oud-Heverlee Leuven
Waasland-Beveren,Waasland-Beveren
Oostende,KV Oostende
Bayern Munich,FC Bayern Munich
Hamburg,Hamburger SV
Bielefeld,DSC Arminia Bielefeld
Werder Bremen,SV Werder Bremen
Cottbus,FC Energie Cottbus
Hoffenheim,TSG 1899 Hoffenheim
Karlsruhe,Karlsruher SC
Bochum,VfL Bochum
Leverkusen,Bayer 04 Leverkusen
Dortmund,Borussia Dortmund
Schalke 04,FC Schalke 04
Hannover,Hannover 96
Wolfsburg,VfL Wolfsburg
FC Koln,1. FC Koln
Ein Frankfurt,Eintracht Frankfurt
Hertha,Hertha BSC Berlin
M'gladbach,Borussia Monchengladbach
Stuttgart,VfB Stuttgart
Mainz,1. FSV Mainz 05
Nurnberg,1. FC Nurnberg
Freiburg,SC Freiburg
Kaiserslautern,1. FC Kaiserslautern
St Pauli,FC St. Pauli
Augsburg,FC Augsburg
Fortuna Dusseldorf,Fortuna Dusseldorf
Greuther Furth,SpVgg Greuther Furth
Braunschweig,Eintracht Braunschweig
Paderborn,SC Paderborn 07
Darmstadt,SV Darmstadt 98
Ingolstadt,FC Ingolstadt 04
Arsenal,Arsenal
West Brom,West Bromwich Albion
Bolton,Bolton Wanderers
Stoke,Stoke City
Everton,Everton
Blackburn,Blackburn Rovers
Hull,Hull City
Fulham,Fulham
Middlesbrough,Middlesbrough
Tottenham,Tottenham Hotspur
Sunderland,Sunderland
Liverpool,Liverpool
West Ham,West Ham United
Wigan,Wigan Athletic
Aston Villa,Aston Villa
Man City,Manchester City
Chelsea,Chelsea
Portsmouth,Portsmouth
Man United,Manchester United
Newcastle,Newcastle United
Burnley,Burnley
Wolves,Wolverhampton Wanderers
Birmingham,Birmingham City
Blackpool,Blackpool
QPR,Queens Park Rangers
Norwich,Norwich City
Swansea,Swansea City
Reading,Reading
Southampton,Southampton
Cardiff,Cardiff City
Crystal Palace,Crystal Palace
Leicester,Leicester City
Bournemouth,Bournemouth
Watford,Watford
Auxerre,AJ Auxerre
Nantes,FC Nantes
Bordeaux,Girondins de Bordeaux
Caen,SM Caen
Le Havre,Le Havre AC
Nice,OGC Nice
Le Mans,Le Mans FC
Lorient,FC Lorient
Monaco,AS Monaco
Paris SG,Paris Saint-Germain
Nancy,AS Nancy-Lorraine
Lille,LOSC Lille
Rennes,Stade Rennais FC
Marseille,Olympique de Marseille
Sochaux,FC Sochaux-Montbeliard
Grenoble,Grenoble Foot 38
Valenciennes,Valenciennes FC
St Etienne,AS Saint-Etienne
Lyon,Olympique Lyonnais
Toulouse,Toulouse FC
Montpellier,Montpellier Herault SC
Boulogne,US Boulogne Cote D'Opale
Lens,RC Lens
Arles,AC Arles-Avignon
Ajaccio,AC Ajaccio
Evian Thonon Gaillard,Evian Thonon Gaillard FC
Dijon,Dijon FCO
Bastia,SC Bastia
Troyes,ES Troyes AC
Reims,Stade de Reims
Guingamp,En Avant de Guingamp
Metz,FC Metz
Angers,Angers SCO
Ajaccio GFCO,GFC Ajaccio
Sampdoria,Sampdoria
Inter,Inter
Udinese,Udinese
Palermo,Palermo
Atalanta,Atalanta
Siena,Siena
Cagliari,Cagliari
Lazio,Lazio
Catania,Catania
Genoa,Genoa
Chievo,Chievo Verona
Reggina,Reggio Calabria
Fiorentina,Fiorentina
Juventus,Juventus
Milan,Milan
Bologna,Bologna
Roma,Roma
Napoli,Napoli
Torino,Torino
Lecce,Lecce
Bari,Bari
Livorno,Livorno
Parma,Parma
Cesena,Cesena
Brescia,Brescia
Novara,Novara
Pescara,Pescara
Verona,Hellas Verona
Sassuolo,Sassuolo
Empoli,Empoli
Frosinone,Frosinone
Carpi,Carpi
Vitesse,Vitesse
Groningen,FC Groningen
Graafschap,De Graafschap
Roda JC,Roda JC Kerkrade
Twente,FC Twente
Utrecht,FC Utrecht
PSV Eindhoven,PSV
Willem II,Willem II
Ajax,Ajax
AZ Alkmaar,AZ
NAC Breda,NAC Breda
Heracles,Heracles Almelo
Feyenoord,Feyenoord
Sparta,Sparta Rotterdam
Den Haag,ADO Den Haag
Volendam,FC Volendam
Heerenveen,SC Heerenveen
Waalwijk,RKC Waalwijk
VVV Venlo,VVV-Venlo
Excelsior,Excelsior
Zwolle,PEC Zwolle
Cambuur,SC Cambuur
Go Ahead Eagles,Go Ahead Eagles
Dordrecht,FC Dordrecht
Guimaraes,Vitoria Guimaraes
Setubal,Vitoria Setubal
Pacos Ferreira,FC Pacos de Ferreira
Trofense,Trofense
Est Amadora,Amadora
Academica,Academica de Coimbra
Leixoes,Leixoes SC
Nacional,CD Nacional
Naval,Naval 1' de Maio
Maritimo,CS Maritimo
Porto,FC Porto
Belenenses,CF Os Belenenses
Rio Ave,Rio Ave FC
Benfica,SL Benfica
Leiria,Uniao de Leiria
Olhanense,S.C. Olhanense
Portimonense,Portimonense
Beira Mar,SC Beira Mar
Gil Vicente,Gil Vicente FC
Feirense,Feirense
Estoril,Estoril Praia
Moreirense,Moreirense FC
Arouca,FC Arouca
