name_1,name_2
Mathieu P.H.,Paul Henri Mathieu
Benneteau J.,Julien Benneteau
Korolev E.,Evgeny Korolev
Jones A.,Alun Jones
Guccione C.,Chris Guccione
Odesnik W.,Wayne Odesnik
Nieminen J.,Jarkko Nieminen
Klec I.,Ivo Klec
Tsonga J.W.,Jo Wilfried Tsonga
Hanescu V.,Victor Hanescu
Spadea V.,Vincent Spadea
Grosjean S.,Sebastien Grosjean
Acasuso J.,Jose Acasuso
Falla A.,Alejandro Falla
Hewitt L.,Lleyton Hewitt
Sela D.,Dudi Sela
Dancevic F.,Frank Dancevic
Bolelli S.,Simone Bolelli
Gulbis E.,Ernests Gulbis
Golubev A.,Andrey Golubev
Sirianni J.,Joseph Sirianni
Querrey S.,Sam Querrey
Becker B.,Benjamin Becker
Russell M.,Michael Russell
Llodra M.,Michael Llodra
Zverev M.,Mischa Zverev
Eschauer W.,Werner Eschauer
Salva B.,Bartolome Salva Vidal
Vliegen K.,Kristof Vliegen
Gicquel M.,Marc Gicquel
Haase R.,Robin Haase
Baghdatis M.,Marcos Baghdatis
Peya A.,Alexander Peya
Zovko L.,Lovro Zovko
Ascione T.,Thierry Ascione
Nadal R.,Rafael Nadal
Montcourt M.,Mathieu Montcourt
Ram R.,Rajeev Ram
Schukin Y.,Yuri Schukin
Mahut N.,Nicolas Mahut
Moya C.,Carlos Moya
Gabashvili T.,Teymuraz Gabashvili
Cilic M.,Marin Cilic
Troicki V.,Viktor Troicki
Kudryavtsev A.,Alexander Kudryavtsev
Amritraj P.,Prakash Amritraj
Youzhny M.,Mikhail Youzhny
Serra F.,Florent Serra
Malisse X.,Xavier Malisse
Melzer J.,Jurgen Melzer
Murray A.,Andy Murray
Rochus O.,Olivier Rochus
Schuettler R.,Rainer Schuettler
Pavel A.,Andrei Pavel
Tipsarevic J.,Janko Tipsarevic
Ventura S.,Santiago Ventura
Calleri A.,Agustin Calleri
Robredo T.,Tommy Robredo
Wawrinka S.,Stanislas Wawrinka
Martin A.,Alberto Martin
Davydenko N.,Nikolay Davydenko
Dorsch B.,Benedikt Dorsch
Kiefer N.,Nicolas Kiefer
de Chaunac S.,Sebastien De Chaunac
Rochus C.,Christophe Rochus
Karlovic I.,Ivo Karlovic
Tursunov D.,Dmitry Tursunov
Montanes A.,Albert Montanes
Johansson T.,Thomas Johansson
Berrer M.,Michael Berrer
Kohlschreiber P.,Philipp Kohlschreiber
Volandri F.,Filippo Volandri
Ljubicic I.,Ivan Ljubicic
Lee H.T.,Hyung Taik Lee
Santoro F.,Fabrice Santoro
Almagro N.,Nicolas Almagro
Chela J.I.,Juan Ignacio Chela
Mayer F.,Florian Mayer
Massu N.,Nicolas Massu
Roitman S.,Sergio Roitman
Rosol L.,Lukas Rosol
Cakl T.,Tomas Cakl
Ferrero J.C.,Juan Carlos Ferrero
Levine J.,Jesse Levine
Ferrer D.,David Ferrer
Hernandez O.,Oscar Hernandez
Monaco J.,Juan Monaco
Luczak P.,Peter Luczak
Berdych T.,Tomas Berdych
Verdasco F.,Fernando Verdasco
Lopez F.,Feliciano Lopez
Jones G.,Greg Jones
Blake J.,James Blake
Simon G.,Gilles Simon
Fish M.,Mardy Fish
Gasquet R.,Richard Gasquet
Andreev I.,Igor Andreev
Seppi A.,Andreas Seppi
Stepanek R.,Radek Stepanek
Darcis S.,Steve Darcis
Minar I.,Ivo Minar
Koubek S.,Stefan Koubek
Baker J.,Jamie Baker
Capdeville P.,Paul Capdeville
Klein B.,Brydan Klein
Clement A.,Arnaud Clement
Pashanski B.,Boris Pashanski
Lu Y.H.,Yen Hsun Lu
Reynolds B.,Bobby Reynolds
Slanar M.,Martin Slanar
Roddick A.,Andy Roddick
Dlouhy L.,Lukas Dlouhy
Patience O.,Olivier Patience
Young D.,Donald Young
Anderson K.,Kevin Anderson
Levy H.,Harel Levy
Warburg S.,Sam Warburg
Brzezicki J.P.,Juan Pablo Brzezicki
